 , , , , , , , , , 
,,,,,,,,,
Category,Discipline,Subject,SourceType,ISSN,PublicationName,IndexingStart,IndexingStop,FullTextStart,FullTextStop
Science,Life Sciences,Freshwater Ecology,Academic Journal,0003-4088,Annales de Limnologie,06/01/2011,,06/01/2011,
Science,Earth & Atmospheric Sciences,Geography & Cartography,Academic Journal,1822-6701,Annales Geographicae,03/01/2011,,03/01/2011,
Social Sciences & Humanities,Geography & Cartography,Geography & Cartography,Academic Journal,1822-6701,Annales Geographicae,03/01/2011,,03/01/2011,
Science,Earth & Atmospheric Sciences,Earth & Atmospheric Sciences,Academic Journal,0992-7689,Annales Geophysicae (09927689),04/01/2010,,04/01/2010,
Science,Aerospace Sciences,Solar Physics,Academic Journal,0992-7689,Annales Geophysicae (09927689),04/01/2010,,04/01/2010,
Science,Physics,Solar Physics,Academic Journal,0992-7689,Annales Geophysicae (09927689),04/01/2010,,04/01/2010,
History,Archaeology,Archaeology,Academic Journal,1845-4046,Annales Instituti Archaeologici,01/01/2007,,01/01/2007,
Science,Life Sciences,Biology,Academic Journal,0066-2232,"Annales UMCS, Biologia",08/01/2013,,08/01/2013,
Science,Chemistry,Chemistry,Academic Journal,0137-6853,"Annales UMCS, Chemistry",08/01/2013,,08/01/2013,
Science,Earth & Atmospheric Sciences,Earth & Atmospheric Sciences,Academic Journal,0137-1983,"Annales UMCS, Geographia, Geologia, Mineralogia et Petrographia",08/01/2013,,08/01/2013,
Science,Mathematics,Mathematics,Academic Journal,0365-1029,"Annales UMCS, Mathematica",08/01/2013,,08/01/2013,
Science,Physics,Physics,Academic Journal,0137-6861,"Annales UMCS, Sectio AAA: Physica",08/01/2013,,08/01/2013,
Health & Medicine,Health & Medicine (General),Health & Medicine (General),Academic Journal,1596-3519,Annals of African Medicine,12/01/2008,,12/01/2008,
Social Sciences & Humanities,Anthropology,Anthropology,Academic Journal,2153-957X,Annals of Anthropological Practice,05/01/2011,,05/01/2011,
Science,Life Sciences,Crop Science,Academic Journal,0003-4746,Annals of Applied Biology,02/01/2003,,06/01/2004,
Science,Life Sciences,Applied Biology,Academic Journal,0003-4746,Annals of Applied Biology,02/01/2003,,06/01/2004,
Science,Applied Sciences,Applied Biology,Academic Journal,0003-4746,Annals of Applied Biology,02/01/2003,,06/01/2004,
Health & Medicine,Clinical Specialties,Behavioral Medicine,Academic Journal,0883-6612,Annals of Behavioral Medicine,01/01/2001,,02/01/2001,
Science,Life Sciences,Botany,Academic Journal,0305-7364,Annals of Botany,08/01/1996,,08/01/1996,
Health & Medicine,Clinical Specialties,Anesthesiology,Academic Journal,0971-9784,Annals of Cardiac Anaesthesia,01/01/2008,,01/01/2008,
Health & Medicine,Clinical Specialties,Cardiology,Academic Journal,0971-9784,Annals of Cardiac Anaesthesia,01/01/2008,,01/01/2008,
Science,Mathematics,Discrete Mathematics,Academic Journal,0218-0006,Annals of Combinatorics,01/01/2000,,01/01/2000,
Technology,Automation,Automation,Academic Journal,1726-9679,Annals of DAAAM & Proceedings,01/01/2009,,01/01/2009,
Technology,Industrial Technology,Automation,Academic Journal,1726-9679,Annals of DAAAM & Proceedings,01/01/2009,,01/01/2009,
Technology,Computer Science,Mechatronics,Academic Journal,1726-9679,Annals of DAAAM & Proceedings,01/01/2009,,01/01/2009,
Technology,Electronics,Mechatronics,Academic Journal,1726-9679,Annals of DAAAM & Proceedings,01/01/2009,,01/01/2009,
Technology,Engineering,Mechatronics,Academic Journal,1726-9679,Annals of DAAAM & Proceedings,01/01/2009,,01/01/2009,
Education,Special Education,Dyslexia,Academic Journal,0736-9387,Annals of Dyslexia,12/01/2002,,12/01/2002,
Health & Medicine,Diseases & Conditions,Dyslexia,Academic Journal,0736-9387,Annals of Dyslexia,12/01/2002,,12/01/2002,
Health & Medicine,Clinical Specialties,Primary Health Care,Academic Journal,1544-1709,Annals of Family Medicine,09/01/2003,,09/01/2003,
Science,Mathematics,Functional Analysis,Academic Journal,2008-8752,Annals of Functional Analysis,06/01/2010,,06/01/2010,
Health & Medicine,Clinical Specialties,Gastroenterology,Academic Journal,2043-023X,Annals of Gastroenterology & Hepatology,06/01/2010,,06/01/2010,
Health & Medicine,Clinical Specialties,Hepatology,Academic Journal,2043-023X,Annals of Gastroenterology & Hepatology,06/01/2010,,06/01/2010,
Health & Medicine,Clinical Specialties,Psychiatry,Academic Journal,1744-859X,Annals of General Psychiatry,01/01/2005,,01/01/2005,
Science,Mathematics,Geometry,Academic Journal,0232-704X,Annals of Global Analysis & Geometry,01/01/2007,,03/22/2008,
Science,Physics,Physics,Academic Journal,0232-704X,Annals of Global Analysis & Geometry,01/01/2007,,03/22/2008,
Science,Life Sciences,Biology,Academic Journal,0301-4460,Annals of Human Biology,01/01/1999,,01/01/1999,
Social Sciences & Humanities,Demography,Demography,Academic Journal,0301-4460,Annals of Human Biology,01/01/1999,,01/01/1999,
Science,Life Sciences,Genetics & Genomics,Academic Journal,0003-4800,Annals of Human Genetics,01/01/2003,,01/01/2003,
Health & Medicine,Medical Sciences,Genetics & Genomics,Academic Journal,0003-4800,Annals of Human Genetics,01/01/2003,,01/01/2003,
Health & Medicine,Medical Sciences,Neurology,Academic Journal,0972-2327,Annals of Indian Academy of Neurology,06/01/2006,,06/01/2006,
Health & Medicine,Clinical Specialties,Neurology,Academic Journal,0972-2327,Annals of Indian Academy of Neurology,06/01/2006,,06/01/2006,
Health & Medicine,Clinical Specialties,Internal Medicine,Academic Journal,0003-4819,Annals of Internal Medicine,07/01/1960,,07/01/1960,
Social Sciences & Humanities,Social Science Theory & Study,Maritime Studies,Academic Journal,0554-6397,Annals of Maritime Studies / Pomorski Zbornik,01/01/2010,,01/01/2010,
Technology,Engineering,Transportation Engineering,Academic Journal,0554-6397,Annals of Maritime Studies / Pomorski Zbornik,01/01/2010,,01/01/2010,
Technology,Transportation,Transportation Engineering,Academic Journal,0554-6397,Annals of Maritime Studies / Pomorski Zbornik,01/01/2010,,01/01/2010,
Health & Medicine,Health & Medicine (General),Health & Medicine (General),Academic Journal,1300-0683,Annals of Medical Sciences,01/01/2003,09/30/2005,01/01/2003,09/30/2005
Health & Medicine,Medical Sciences,Neurology,Academic Journal,0972-7531,Annals of Neurosciences,04/01/2010,,01/01/2011,
Health & Medicine,Clinical Specialties,Neurology,Academic Journal,0972-7531,Annals of Neurosciences,04/01/2010,,01/01/2011,
Health & Medicine,Health & Medicine (General),Health & Medicine (General),Academic Journal,0331-3131,Annals of Nigerian Medicine,01/01/2011,,01/01/2011,
Health & Medicine,Clinical Specialties,Otolaryngology,Academic Journal,0003-4894,"Annals of Otology, Rhinology & Laryngology",01/01/2002,,01/01/2002,
Health & Medicine,Clinical Specialties,Cardiology,Academic Journal,0974-2069,Annals of Pediatric Cardiology,09/01/2008,,09/01/2008,
Health & Medicine,Clinical Specialties,Pediatric Medicine,Academic Journal,0974-2069,Annals of Pediatric Cardiology,09/01/2008,,09/01/2008,
Health & Medicine,Complementary & Alternative Medicine,Complementary & Alternative Medicine,Academic Journal,2167-2113,Annals of Psychotherapy & Integrative Health,03/01/2011,,03/01/2011,
Health & Medicine,Allied Health,Mental Health Services,Academic Journal,2167-2113,Annals of Psychotherapy & Integrative Health,03/01/2011,,03/01/2011,
Health & Medicine,Clinical Specialties,Mental Health Services,Academic Journal,2167-2113,Annals of Psychotherapy & Integrative Health,03/01/2011,,03/01/2011,
Health & Medicine,Clinical Specialties,Pulmonology,Academic Journal,2042-4701,Annals of Respiratory Medicine,08/01/2011,12/31/2011,08/01/2011,12/31/2011
Science,Science (General),Science (General),Academic Journal,0003-3790,Annals of Science,01/01/1975,,01/01/1975,
Health & Medicine,Clinical Specialties,Surgery,Academic Journal,1750-1164,Annals of Surgical Innovation & Research,01/01/2009,,01/01/2009,
Science,Mathematics,Mathematics,Academic Journal,1221-8421,Annals of the Alexandru Ioan Cuza University - Mathematics,08/01/2013,,08/01/2013,
Health & Medicine,Allied Health,Mental Health Services,Academic Journal,1535-4075,Annals of the American Psychotherapy Association,03/01/2006,12/31/2010,03/01/2006,12/31/2010
Health & Medicine,Clinical Specialties,Mental Health Services,Academic Journal,1535-4075,Annals of the American Psychotherapy Association,03/01/2006,12/31/2010,03/01/2006,12/31/2010
Science,Earth & Atmospheric Sciences,Geography & Cartography,Academic Journal,0004-5608,Annals of the Association of American Geographers,01/01/1911,,01/01/1911,
Social Sciences & Humanities,Geography & Cartography,Geography & Cartography,Academic Journal,0004-5608,Annals of the Association of American Geographers,01/01/1911,,01/01/1911,
Health & Medicine,Clinical Specialties,Surgery,Academic Journal,1028-4001,Annals of the College of Surgeons of Hong Kong,03/01/1999,12/31/2004,03/01/1999,12/31/2004
Technology,Engineering,Engineering,Academic Journal,1584-2665,Annals of the Faculty of Engineering Hunedoara - International Journal of Engineering,06/01/2011,,06/01/2011,
Science,Mathematics,Probability & Statistics,Academic Journal,0020-3157,Annals of the Institute of Statistical Mathematics,03/01/2008,,03/01/2008,
Science,Science (General),Science (General),Academic Journal,0077-8923,Annals of the New York Academy of Sciences,05/01/2006,,05/01/2006,
Science,Mathematics,Mathematics,Academic Journal,2067-2071,"Annals of the University Dunarea de Jos of Galati: Fascicle II, Mathematics, Physics, Theoretical Mechanics",01/01/2011,,01/01/2011,
Science,Physics,Physics,Academic Journal,2067-2071,"Annals of the University Dunarea de Jos of Galati: Fascicle II, Mathematics, Physics, Theoretical Mechanics",01/01/2011,,01/01/2011,
Science,Physics,Theoretical Mechanics,Academic Journal,2067-2071,"Annals of the University Dunarea de Jos of Galati: Fascicle II, Mathematics, Physics, Theoretical Mechanics",01/01/2011,,01/01/2011,
Technology,Engineering,Materials Engineering,Academic Journal,1453-083X,"Annals of the University Dunarea de Jos of Galati: Fascicle IX, Metallurgy & Materials Science",12/01/2010,,12/01/2010,
Technology,Construction & Building,Welding,Academic Journal,1221-4639,"Annals of the University Dunarea de Jos of Galati: Fascicle XII, Welding Equipment & Technology",01/01/2010,,01/01/2010,
Technology,Industrial Technology,Welding,Academic Journal,1221-4639,"Annals of the University Dunarea de Jos of Galati: Fascicle XII, Welding Equipment & Technology",01/01/2010,,01/01/2010,
Technology,Engineering,Mechanical Engineering,Academic Journal,1224-5615,"Annals of the University Dunarea de Jos of Galati: Fascicle XIV, Mechanical Engineering",09/01/2010,,09/01/2010,
Technology,Engineering,"Friction, Lubrication & Wear",Academic Journal,1221-4590,"Annals of the University Dunarea de Jos of Galati: Fascicle: VIII, Tribology",06/01/2010,,06/01/2010,
Science,Physics,"Friction, Lubrication & Wear",Academic Journal,1221-4590,"Annals of the University Dunarea de Jos of Galati: Fascicle: VIII, Tribology",06/01/2010,,06/01/2010,
Science,Earth & Atmospheric Sciences,Geography & Cartography,Academic Journal,1221-1273,"Annals of the University of Oradea, Geography Series / Analele Universitatii din Oradea, Seria Geografie",06/01/2011,,06/01/2011,
Social Sciences & Humanities,Geography & Cartography,Geography & Cartography,Academic Journal,1221-1273,"Annals of the University of Oradea, Geography Series / Analele Universitatii din Oradea, Seria Geografie",06/01/2011,,06/01/2011,
Technology,Engineering,Electrical Engineering,Academic Journal,1454-8518,Annals of the University of Petrosani Electrical Engineering,01/01/2009,,01/01/2009,
Technology,Engineering,Mechanical Engineering,Academic Journal,1454-9166,Annals of the University of Petrosani Mechanical Engineering,01/01/2009,,01/01/2010,
Science,Earth & Atmospheric Sciences,Mining & Mineral Resources,Academic Journal,1454-9174,Annals of the University of Petrosani Mining Engineering,01/01/2009,,01/01/2010,
Technology,Industrial Technology,Mining & Mineral Resources,Academic Journal,1454-9174,Annals of the University of Petrosani Mining Engineering,01/01/2009,,01/01/2010,
Business,Industries & Trades,Mining & Mineral Resources,Academic Journal,1454-9174,Annals of the University of Petrosani Mining Engineering,01/01/2009,,01/01/2010,
Science,Physics,Physics,Academic Journal,,"Annals of the West University of Timisoara, Physics Series",01/01/2009,,01/01/2009,
Health & Medicine,Clinical Specialties,Pulmonology,Academic Journal,1817-1737,Annals of Thoracic Medicine,01/01/2006,,01/01/2006,
Science,Life Sciences,Parasitology,Academic Journal,0003-4983,Annals of Tropical Medicine & Parasitology,01/01/1997,12/31/2008,01/01/1997,12/31/2008
Health & Medicine,Medical Sciences,Parasitology,Academic Journal,0003-4983,Annals of Tropical Medicine & Parasitology,01/01/1997,12/31/2008,01/01/1997,12/31/2008
Health & Medicine,Clinical Specialties,Tropical Medicine,Academic Journal,0003-4983,Annals of Tropical Medicine & Parasitology,01/01/1997,12/31/2008,01/01/1997,12/31/2008
Politics & Government,Public Health,Public Health,Academic Journal,1755-6783,Annals of Tropical Medicine & Public Health,01/01/2009,,01/01/2009,
Health & Medicine,Public Health,Public Health,Academic Journal,1755-6783,Annals of Tropical Medicine & Public Health,01/01/2009,,01/01/2009,
Social Sciences & Humanities,Public Health,Public Health,Academic Journal,1755-6783,Annals of Tropical Medicine & Public Health,01/01/2009,,01/01/2009,
Health & Medicine,Clinical Specialties,Tropical Medicine,Academic Journal,1755-6783,Annals of Tropical Medicine & Public Health,01/01/2009,,01/01/2009,
Health & Medicine,Clinical Specialties,Pediatric Medicine,Academic Journal,0272-4936,Annals of Tropical Paediatrics,03/01/1999,12/31/2011,03/01/1999,12/31/2011
Health & Medicine,Clinical Specialties,Tropical Medicine,Academic Journal,0272-4936,Annals of Tropical Paediatrics,03/01/1999,12/31/2011,03/01/1999,12/31/2011
Politics & Government,Diplomacy & International Relations,Diplomacy & International Relations,Academic Journal,2067-1253,"Annals of University of Oradea, Series: International Relations & European Studies",01/01/2009,,01/01/2009,
Social Sciences & Humanities,Area Studies,European Studies,Academic Journal,2067-1253,"Annals of University of Oradea, Series: International Relations & European Studies",01/01/2009,,01/01/2009,
Science,Chemistry,Chemistry,Academic Journal,1224-9513,Annals of West University of Timisoara: Series of Chemistry,01/01/2005,,01/01/2005,
History,History (General),History (General),Academic Journal,0066-3832,Annual Bulletin of Historical Literature,01/01/1998,12/31/2012,01/01/1998,12/31/2012
Literature & Writing,Literature & Writing (General),Literary History,Academic Journal,0066-3832,Annual Bulletin of Historical Literature,01/01/1998,12/31/2012,01/01/1998,12/31/2012
History,Topical History,Literary History,Academic Journal,0066-3832,Annual Bulletin of Historical Literature,01/01/1998,12/31/2012,01/01/1998,12/31/2012
Social Sciences & Humanities,Psychology,Psychology,Academic Journal,0092-5055,Annual of Psychoanalysis,01/01/2000,12/31/2004,01/01/2000,12/31/2004
Health & Medicine,Clinical Specialties,Psychology,Academic Journal,0092-5055,Annual of Psychoanalysis,01/01/2000,12/31/2004,01/01/2000,12/31/2004
Social Sciences & Humanities,Anthropology,Anthropology,Academic Journal,0084-6570,Annual Review of Anthropology,01/01/1972,,10/01/1972,10/31/2005
Science,Aerospace Sciences,Astronomy,Academic Journal,0066-4146,Annual Review of Astronomy & Astrophysics,01/01/1996,,09/01/1996,09/30/2005
Science,Aerospace Sciences,Astrophysics,Academic Journal,0066-4146,Annual Review of Astronomy & Astrophysics,01/01/1996,,09/01/1996,09/30/2005
Science,Physics,Astrophysics,Academic Journal,0066-4146,Annual Review of Astronomy & Astrophysics,01/01/1996,,09/01/1996,09/30/2005
Science,Chemistry,Biochemistry,Academic Journal,0066-4154,Annual Review of Biochemistry,01/01/1997,,07/01/1997,07/31/2005
Science,Life Sciences,Biochemistry,Academic Journal,0066-4154,Annual Review of Biochemistry,01/01/1997,,07/01/1997,07/31/2005
Technology,Engineering,Biomedical Engineering,Academic Journal,1523-9829,Annual Review of Biomedical Engineering,01/01/1999,,08/01/1999,08/31/2005
Science,Life Sciences,Biomedical Engineering,Academic Journal,1523-9829,Annual Review of Biomedical Engineering,01/01/1999,,08/01/1999,08/31/2005
Health & Medicine,Medical Sciences,Biomedical Engineering,Academic Journal,1523-9829,Annual Review of Biomedical Engineering,01/01/1999,,08/01/1999,08/31/2005
Technology,Medical Technology,Medical Technology,Academic Journal,1523-9829,Annual Review of Biomedical Engineering,01/01/1999,,08/01/1999,08/31/2005
Health & Medicine,Medical Technology,Medical Technology,Academic Journal,1523-9829,Annual Review of Biomedical Engineering,01/01/1999,,08/01/1999,08/31/2005
Health & Medicine,Medical Sciences,Biomedicine,Academic Journal,1517-3011,Annual Review of Biomedical Sciences,12/01/2006,12/31/2009,12/01/2006,12/31/2009
Science,Life Sciences,Biophysics,Academic Journal,1056-8700,Annual Review of Biophysics & Biomolecular Structure,01/01/1997,12/31/2007,06/01/1997,06/30/2005
Science,Physics,Biophysics,Academic Journal,1056-8700,Annual Review of Biophysics & Biomolecular Structure,01/01/1997,12/31/2007,06/01/1997,06/30/2005
Science,Chemistry,Structural Biology,Academic Journal,1056-8700,Annual Review of Biophysics & Biomolecular Structure,01/01/1997,12/31/2007,06/01/1997,06/30/2005
Science,Life Sciences,Structural Biology,Academic Journal,1056-8700,Annual Review of Biophysics & Biomolecular Structure,01/01/1997,12/31/2007,06/01/1997,06/30/2005
Science,Physics,Structural Biology,Academic Journal,1056-8700,Annual Review of Biophysics & Biomolecular Structure,01/01/1997,12/31/2007,06/01/1997,06/30/2005
Health & Medicine,Medical Sciences,Structural Biology,Academic Journal,1056-8700,Annual Review of Biophysics & Biomolecular Structure,01/01/1997,12/31/2007,06/01/1997,06/30/2005
Science,Life Sciences,Embryology,Academic Journal,1081-0706,Annual Review of Cell & Developmental Biology,01/01/1996,,11/01/1996,11/30/2005
Health & Medicine,Medical Sciences,Embryology,Academic Journal,1081-0706,Annual Review of Cell & Developmental Biology,01/01/1996,,11/01/1996,11/30/2005
Science,Life Sciences,Histology,Academic Journal,1081-0706,Annual Review of Cell & Developmental Biology,01/01/1996,,11/01/1996,11/30/2005
Health & Medicine,Medical Sciences,Histology,Academic Journal,1081-0706,Annual Review of Cell & Developmental Biology,01/01/1996,,11/01/1996,11/30/2005
Science,Earth & Atmospheric Sciences,Earth & Atmospheric Sciences,Academic Journal,0084-6597,Annual Review of Earth & Planetary Sciences,01/01/1996,,05/01/1996,05/31/2005
Science,Earth & Atmospheric Sciences,Weather & Climate,Academic Journal,0084-6597,Annual Review of Earth & Planetary Sciences,01/01/1996,,05/01/1996,05/31/2005
Science,Life Sciences,Ecology,Academic Journal,0066-4162,Annual Review of Ecology & Systematics,12/01/1970,12/31/2002,12/01/1970,12/31/2002
Science,Life Sciences,Evolution,Academic Journal,0066-4162,Annual Review of Ecology & Systematics,12/01/1970,12/31/2002,12/01/1970,12/31/2002
Science,Life Sciences,Ecology,Academic Journal,1543-592X,"Annual Review of Ecology, Evolution & Systematics",01/01/2003,,12/01/2003,12/31/2005
Science,Life Sciences,Evolution,Academic Journal,1543-592X,"Annual Review of Ecology, Evolution & Systematics",01/01/2003,,12/01/2003,12/31/2005
Science,Earth & Atmospheric Sciences,Environmental Management & Protection,Academic Journal,1056-3466,Annual Review of Energy & the Environment,01/01/1996,12/31/2002,11/01/1996,12/31/2002
Science,Life Sciences,Environmental Management & Protection,Academic Journal,1056-3466,Annual Review of Energy & the Environment,01/01/1996,12/31/2002,11/01/1996,12/31/2002
Science,Earth & Atmospheric Sciences,Renewable Energy,Academic Journal,1056-3466,Annual Review of Energy & the Environment,01/01/1996,12/31/2002,11/01/1996,12/31/2002
Science,Life Sciences,Renewable Energy,Academic Journal,1056-3466,Annual Review of Energy & the Environment,01/01/1996,12/31/2002,11/01/1996,12/31/2002
Science,Power & Energy,Renewable Energy,Academic Journal,1056-3466,Annual Review of Energy & the Environment,01/01/1996,12/31/2002,11/01/1996,12/31/2002
Technology,Power & Energy,Renewable Energy,Academic Journal,1056-3466,Annual Review of Energy & the Environment,01/01/1996,12/31/2002,11/01/1996,12/31/2002
Science,Life Sciences,Ecology,Academic Journal,0066-4170,Annual Review of Entomology,01/01/1997,,01/01/1997,01/31/2005
Science,Life Sciences,Insects & Arthropods,Academic Journal,0066-4170,Annual Review of Entomology,01/01/1997,,01/01/1997,01/31/2005
Science,Earth & Atmospheric Sciences,Earth & Atmospheric Sciences,Academic Journal,1543-5938,Annual Review of Environment & Resources,01/01/2003,,11/01/2003,11/30/2005
Science,Life Sciences,Ecology,Academic Journal,1543-5938,Annual Review of Environment & Resources,01/01/2003,,11/01/2003,11/30/2005
Science,Earth & Atmospheric Sciences,Environmental Management & Protection,Academic Journal,1543-5938,Annual Review of Environment & Resources,01/01/2003,,11/01/2003,11/30/2005
Science,Life Sciences,Environmental Management & Protection,Academic Journal,1543-5938,Annual Review of Environment & Resources,01/01/2003,,11/01/2003,11/30/2005
Science,Earth & Atmospheric Sciences,Environmental Sciences,Academic Journal,1543-5938,Annual Review of Environment & Resources,01/01/2003,,11/01/2003,11/30/2005
Science,Life Sciences,Environmental Sciences,Academic Journal,1543-5938,Annual Review of Environment & Resources,01/01/2003,,11/01/2003,11/30/2005
Science,Physics,Fluid Mechanics,Academic Journal,0066-4189,Annual Review of Fluid Mechanics,01/01/1997,,01/01/1997,01/31/2005
Science,Life Sciences,Genetics & Genomics,Academic Journal,0066-4197,Annual Review of Genetics,01/01/1967,,12/01/1967,12/31/2005
Health & Medicine,Medical Sciences,Genetics & Genomics,Academic Journal,0066-4197,Annual Review of Genetics,01/01/1967,,12/01/1967,12/31/2005
Science,Life Sciences,Genetics & Genomics,Academic Journal,1527-8204,Annual Review of Genomics & Human Genetics,01/01/2000,,09/01/2000,09/30/2005
Health & Medicine,Medical Sciences,Genetics & Genomics,Academic Journal,1527-8204,Annual Review of Genomics & Human Genetics,01/01/2000,,09/01/2000,09/30/2005
Health & Medicine,Clinical Specialties,Geriatric Medicine,Academic Journal,0198-8794,Annual Review of Gerontology & Geriatrics,11/01/2007,,11/01/2007,03/29/2012
Social Sciences & Humanities,Demography,Gerontology,Academic Journal,0198-8794,Annual Review of Gerontology & Geriatrics,11/01/2007,,11/01/2007,03/29/2012
Health & Medicine,Medical Sciences,Immunology,Academic Journal,0732-0582,Annual Review of Immunology,01/01/1996,,04/01/1996,04/30/2005
Technology,Engineering,Materials Engineering,Academic Journal,1531-7331,Annual Review of Materials Research,01/01/2001,,08/01/2001,08/31/2005
Technology,Engineering,Materials Engineering,Academic Journal,0084-6600,Annual Review of Materials Science,08/01/1997,08/31/2000,08/01/1997,08/31/2000
Health & Medicine,Health & Medicine (General),Health & Medicine (General),Academic Journal,0066-4219,Annual Review of Medicine,01/01/1996,,02/01/1996,02/28/2005
Science,Life Sciences,Microbiology,Academic Journal,0066-4227,Annual Review of Microbiology,01/01/1992,,10/01/1996,10/30/2005
Health & Medicine,Medical Sciences,Microbiology,Academic Journal,0066-4227,Annual Review of Microbiology,01/01/1992,,10/01/1996,10/30/2005
Health & Medicine,Medical Sciences,Neurology,Academic Journal,0147-006X,Annual Review of Neuroscience,01/01/1997,,07/01/1997,07/31/2005
Health & Medicine,Clinical Specialties,Neurology,Academic Journal,0147-006X,Annual Review of Neuroscience,01/01/1997,,07/01/1997,07/31/2005
Science,Physics,Nuclear Physics,Academic Journal,0163-8998,Annual Review of Nuclear & Particle Science,01/01/1996,,12/01/1996,12/31/2005
Science,Life Sciences,Nutrition Science,Academic Journal,0199-9885,Annual Review of Nutrition,01/01/1997,,08/01/1997,08/31/2005
Health & Medicine,Medical Sciences,Nutrition Science,Academic Journal,0199-9885,Annual Review of Nutrition,01/01/1997,,08/01/1997,08/31/2005
Technology,Industrial Technology,Nutrition Science,Academic Journal,0199-9885,Annual Review of Nutrition,01/01/1997,,08/01/1997,08/31/2005
Science,Chemistry,Toxicology,Academic Journal,0362-1642,Annual Review of Pharmacology & Toxicology,01/01/1997,,02/01/1997,02/28/2005
Health & Medicine,Medical Sciences,Toxicology,Academic Journal,0362-1642,Annual Review of Pharmacology & Toxicology,01/01/1997,,02/01/1997,02/28/2005
Science,Chemistry,Physical Chemistry,Academic Journal,0066-426X,Annual Review of Physical Chemistry,01/01/1996,,05/01/1996,05/30/2005
Science,Physics,Physical Chemistry,Academic Journal,0066-426X,Annual Review of Physical Chemistry,01/01/1996,,05/01/1996,05/30/2005
Health & Medicine,Medical Sciences,Physiology,Academic Journal,0066-4278,Annual Review of Physiology,01/01/1997,,03/01/1997,03/31/2005
Science,Life Sciences,Botany,Academic Journal,0066-4286,Annual Review of Phytopathology,01/01/1996,,09/01/1996,09/30/2005
Science,Life Sciences,Plant Pathology,Academic Journal,0066-4286,Annual Review of Phytopathology,01/01/1996,,09/01/1996,09/30/2005
Health & Medicine,Clinical Specialties,Plant Pathology,Academic Journal,0066-4286,Annual Review of Phytopathology,01/01/1996,,09/01/1996,09/30/2005
Science,Life Sciences,Botany,Academic Journal,1543-5008,Annual Review of Plant Biology,01/01/2002,,06/01/2002,06/30/2005
Science,Life Sciences,Botany,Academic Journal,1040-2519,Annual Review of Plant Physiology & Plant Molecular Biology,01/01/1996,12/31/2001,06/01/1996,12/31/2001
Science,Chemistry,Molecular Biology,Academic Journal,1040-2519,Annual Review of Plant Physiology & Plant Molecular Biology,01/01/1996,12/31/2001,06/01/1996,12/31/2001
Science,Life Sciences,Molecular Biology,Academic Journal,1040-2519,Annual Review of Plant Physiology & Plant Molecular Biology,01/01/1996,12/31/2001,06/01/1996,12/31/2001
Health & Medicine,Medical Sciences,Molecular Biology,Academic Journal,1040-2519,Annual Review of Plant Physiology & Plant Molecular Biology,01/01/1996,12/31/2001,06/01/1996,12/31/2001
Politics & Government,Political Science & Studies,Political Science & Studies,Academic Journal,1094-2939,Annual Review of Political Science,01/01/1998,,06/01/1998,06/30/2005
Social Sciences & Humanities,Political Science & Studies,Political Science & Studies,Academic Journal,1094-2939,Annual Review of Political Science,01/01/1998,,06/01/1998,06/30/2005
Social Sciences & Humanities,Psychology,Psychology,Academic Journal,0066-4308,Annual Review of Psychology,02/01/1950,,02/01/1950,02/28/2005
Health & Medicine,Clinical Specialties,Psychology,Academic Journal,0066-4308,Annual Review of Psychology,02/01/1950,,02/01/1950,02/28/2005
Politics & Government,Public Health,Public Health,Academic Journal,0163-7525,Annual Review of Public Health,04/01/1997,,04/01/1997,04/30/2005
Health & Medicine,Public Health,Public Health,Academic Journal,0163-7525,Annual Review of Public Health,04/01/1997,,04/01/1997,04/30/2005
Social Sciences & Humanities,Public Health,Public Health,Academic Journal,0163-7525,Annual Review of Public Health,04/01/1997,,04/01/1997,04/30/2005
Social Sciences & Humanities,Sex & Sexuality,Sex & Sexuality,Academic Journal,1053-2528,Annual Review of Sex Research,07/01/1996,12/31/2007,07/01/1996,12/31/2007
Social Sciences & Humanities,Sociology,Sociology,Academic Journal,0360-0572,Annual Review of Sociology,01/01/1990,,08/01/1990,08/31/2005
Religion & Philosophy,Religion & Philosophy (General),Religion & Philosophy (General),Academic Journal,0374-0730,Annual Review of the Faculty of Philosophy / Godisnjak Filozofskog Fakulteta,12/01/2009,,12/01/2009,
Politics & Government,Law,Comparative Law,Academic Journal,1932-2364,Annual Survey of International & Comparative Law,01/01/1997,,01/01/2009,
Social Sciences & Humanities,Law,Comparative Law,Academic Journal,1932-2364,Annual Survey of International & Comparative Law,01/01/1997,,01/01/2009,
Politics & Government,Law,International Law,Academic Journal,1932-2364,Annual Survey of International & Comparative Law,01/01/1997,,01/01/2009,
Social Sciences & Humanities,Law,International Law,Academic Journal,1932-2364,Annual Survey of International & Comparative Law,01/01/1997,,01/01/2009,
Literature & Writing,"National, Regional & Ethnic Literature",English Literature,Academic Journal,0895-769X,ANQ,01/01/1988,,01/01/1988,
Health & Medicine,Medical Sciences,Neurology,Academic Journal,1134-7937,Ansiedad y Estrés,06/01/2004,,06/01/2004,
Health & Medicine,Clinical Specialties,Neurology,Academic Journal,1134-7937,Ansiedad y Estrés,06/01/2004,,06/01/2004,
Science,Chemistry,Pharmacology,Academic Journal,1134-7937,Ansiedad y Estrés,06/01/2004,,06/01/2004,
Health & Medicine,Medical Sciences,Pharmacology,Academic Journal,1134-7937,Ansiedad y Estrés,06/01/2004,,06/01/2004,
