,Journal,Year,SJR,IPP,SNIP,Citations,Documents,% Not Cited,% Review
375,Journal of Family Social Work,2011,0.201,0.478,0.479,121,35,45.71,0
376,Journal of Family Social Work,2012,0.238,0.634,0.432,155,32,68.75,0
377,Journal of Family Social Work,2013,0.212,0.457,0.498,160,25,88,4
378,Journal of Family Social Work,2014,NA,NA,NA,137,31,100,0
379,Journal of Family Social Work,2015,NA,NA,NA,10,0,0,0
380,Journal of Gerontological Social Work,1996,NA,NA,NA,147,68,35.29,0
381,Journal of Gerontological Social Work,1997,NA,NA,NA,186,45,28.89,2.22
382,Journal of Gerontological Social Work,1998,NA,NA,NA,161,36,8.33,0
383,Journal of Gerontological Social Work,1999,0.199,0.2,0.179,197,49,18.37,0
384,Journal of Gerontological Social Work,2000,0.148,0.081,0.17,228,40,20,0
385,Journal of Gerontological Social Work,2001,0.168,0.333,0.433,244,71,22.54,0
386,Journal of Gerontological Social Work,2002,0.169,0.296,0.393,222,77,6.49,0
387,Journal of Gerontological Social Work,2003,0.186,0.8,0.875,280,35,22.86,0
388,Journal of Gerontological Social Work,2004,NA,NA,NA,289,64,14.06,0
389,Journal of Gerontological Social Work,2005,NA,NA,NA,372,56,25,37.5
390,Journal of Gerontological Social Work,2006,0.137,0.136,0.113,459,58,17.24,3.45
391,Journal of Gerontological Social Work,2007,0.218,0.312,0.202,537,56,21.43,5.36
392,Journal of Gerontological Social Work,2008,0.259,0.514,0.548,515,50,36,2
393,Journal of Gerontological Social Work,2009,0.393,0.637,0.494,571,66,25.76,0
394,Journal of Gerontological Social Work,2010,0.348,0.73,0.616,756,59,28.81,0
395,Journal of Gerontological Social Work,2011,0.296,0.74,0.508,624,59,32.2,5.08
396,Journal of Gerontological Social Work,2012,0.497,0.892,0.778,904,51,19.61,3.92
397,Journal of Gerontological Social Work,2013,0.722,1.167,0.898,870,44,27.27,2.27
398,Journal of Gerontological Social Work,2014,NA,NA,NA,770,62,35.48,3.23
399,Journal of Gerontological Social Work,2015,NA,NA,NA,46,6,100,0
400,Journal of Religion & Spirituality in Social Work,1997,NA,NA,NA,0,0,0,0
401,Journal of Religion & Spirituality in Social Work,1998,NA,NA,NA,0,0,0,0
402,Journal of Religion & Spirituality in Social Work,1999,NA,NA,NA,0,0,0,0
403,Journal of Religion & Spirituality in Social Work,2000,NA,NA,NA,0,0,0,0
404,Journal of Religion & Spirituality in Social Work,2001,NA,NA,NA,0,0,0,0
405,Journal of Religion & Spirituality in Social Work,2002,NA,NA,NA,0,0,0,0
406,Journal of Religion & Spirituality in Social Work,2003,NA,NA,NA,0,0,0,0
407,Journal of Religion & Spirituality in Social Work,2004,NA,NA,NA,0,37,45.95,0
408,Journal of Religion & Spirituality in Social Work,2005,NA,NA,NA,0,23,52.17,0
409,Journal of Religion & Spirituality in Social Work,2006,NA,NA,NA,13,45,42.22,4.44
410,Journal of Religion & Spirituality in Social Work,2007,0.176,0.103,0.169,15,26,23.08,3.85
411,Journal of Religion & Spirituality in Social Work,2008,0.12,0.102,0.343,21,28,25,0
412,Journal of Religion & Spirituality in Social Work,2009,0.263,0.507,0.342,60,38,39.47,5.26
413,Journal of Religion & Spirituality in Social Work,2010,0.357,0.565,0.386,86,24,33.33,0
414,Journal of Religion & Spirituality in Social Work,2011,0.607,0.855,0.899,101,28,53.57,0
415,Journal of Religion & Spirituality in Social Work,2012,0.296,0.554,0.457,133,21,52.38,0
416,Journal of Religion & Spirituality in Social Work,2013,0.251,0.422,0.427,163,23,91.3,4.35
417,Journal of Religion & Spirituality in Social Work,2014,NA,NA,NA,68,14,100,0
418,Journal of Religion & Spirituality in Social Work,2015,NA,NA,NA,5,0,0,0
419,Journal of Social Work,1996,NA,NA,NA,0,0,0,0
420,Journal of Social Work,1997,NA,NA,NA,0,0,0,0
421,Journal of Social Work,1998,NA,NA,NA,0,0,0,0
422,Journal of Social Work,1999,NA,NA,NA,0,0,0,0
423,Journal of Social Work,2000,NA,NA,NA,0,0,0,0
424,Journal of Social Work,2001,NA,NA,NA,1,41,53.66,0
425,Journal of Social Work,2002,NA,NA,NA,2,38,57.89,0
426,Journal of Social Work,2003,NA,NA,NA,19,29,34.48,0
427,Journal of Social Work,2004,NA,NA,NA,28,35,48.57,0
428,Journal of Social Work,2005,NA,NA,NA,27,39,56.41,0
429,Journal of Social Work,2006,NA,NA,NA,53,35,51.43,0
430,Journal of Social Work,2007,NA,NA,NA,90,34,55.88,0
431,Journal of Social Work,2008,NA,NA,NA,116,42,57.14,0
432,Journal of Social Work,2009,0.123,0.15,0.196,133,45,46.67,2.22
433,Journal of Social Work,2010,0.549,0.405,0.859,201,45,60,2.22
434,Journal of Social Work,2011,0.521,1.081,1.256,230,45,48.89,6.67
435,Journal of Social Work,2012,1.137,1.364,1.599,293,32,34.38,3.12
436,Journal of Social Work,2013,0.66,1.013,1.246,334,31,58.06,6.45
437,Journal of Social Work,2014,NA,NA,NA,302,33,81.82,3.03
438,Journal of Social Work,2015,NA,NA,NA,26,0,0,0
439,Journal of Social Work Education,1996,NA,NA,NA,94,31,3.23,0
440,Journal of Social Work Education,1997,NA,NA,NA,71,88,54.55,0
441,Journal of Social Work Education,1998,NA,NA,NA,107,79,58.23,0
442,Journal of Social Work Education,1999,0.258,0.2,1.171,211,131,71.76,0
443,Journal of Social Work Education,2000,0.39,0.359,1.72,208,151,71.52,0
444,Journal of Social Work Education,2001,0.265,0.375,0.975,201,160,77.5,0
445,Journal of Social Work Education,2002,0.513,0.707,1.313,207,104,70.19,1.92
446,Journal of Social Work Education,2003,0.363,0.517,1.119,247,89,65.17,10.11
447,Journal of Social Work Education,2004,0.307,0.446,0.905,247,45,35.56,28.89
448,Journal of Social Work Education,2005,0.397,0.889,1.504,497,70,51.43,31.43
449,Journal of Social Work Education,2006,0.488,0.761,1.123,637,55,29.09,9.09
450,Journal of Social Work Education,2007,0.526,0.515,0.7,635,35,11.43,22.86
451,Journal of Social Work Education,2008,0.559,0.931,1.322,696,51,17.65,9.8
452,Journal of Social Work Education,2009,0.53,0.723,0.98,660,35,14.29,5.71
453,Journal of Social Work Education,2010,0.597,0.99,1.205,742,39,38.46,5.13
454,Journal of Social Work Education,2011,0.62,0.99,1.495,907,40,7.5,25
455,Journal of Social Work Education,2012,0.667,1.104,1.366,980,52,57.69,17.31
456,Journal of Social Work Education,2013,0.595,0.896,1.228,1165,59,44.07,18.64
457,Journal of Social Work Education,2014,NA,NA,NA,759,46,95.65,4.35
458,Journal of Social Work Education,2015,NA,NA,NA,82,16,100,6.25
459,Journal of Social Work Practice,1996,NA,NA,NA,10,24,62.5,0
460,Journal of Social Work Practice,1997,NA,NA,NA,10,21,71.43,0
461,Journal of Social Work Practice,1998,NA,NA,NA,8,30,53.33,0
462,Journal of Social Work Practice,1999,0.19,0.122,0.46,18,25,52,0
463,Journal of Social Work Practice,2000,0.142,0.106,0.345,21,18,33.33,0
464,Journal of Social Work Practice,2001,0.14,0.16,0.566,19,18,27.78,0
465,Journal of Social Work Practice,2002,0.189,0.238,0.852,33,27,29.63,7.41
466,Journal of Social Work Practice,2003,0.216,0.279,0.705,29,22,45.45,54.55
467,Journal of Social Work Practice,2004,0.127,0.089,0.201,34,38,36.84,65.79
468,Journal of Social Work Practice,2005,0.147,0.14,0.451,59,32,43.75,0
469,Journal of Social Work Practice,2006,0.242,0.367,0.514,70,34,35.29,11.76
470,Journal of Social Work Practice,2007,0.171,0.176,0.293,93,44,40.91,15.91
471,Journal of Social Work Practice,2008,0.231,0.28,0.366,118,37,43.24,27.03
472,Journal of Social Work Practice,2009,0.291,0.312,0.513,120,40,35,0
473,Journal of Social Work Practice,2010,0.218,0.218,0.345,160,44,47.73,0
474,Journal of Social Work Practice,2011,0.337,0.5,0.509,194,42,52.38,4.76
475,Journal of Social Work Practice,2012,0.52,0.554,0.936,222,33,63.64,3.03
476,Journal of Social Work Practice,2013,0.308,0.449,0.439,256,33,75.76,3.03
477,Journal of Social Work Practice,2014,NA,NA,NA,176,47,93.62,2.13
478,Journal of Social Work Practice,2015,NA,NA,NA,15,3,100,0
479,Journal of Social Work Practice in the Addictions,1996,NA,NA,NA,0,0,0,0
480,Journal of Social Work Practice in the Addictions,1997,NA,NA,NA,0,0,0,0
481,Journal of Social Work Practice in the Addictions,1998,NA,NA,NA,0,0,0,0
482,Journal of Social Work Practice in the Addictions,1999,NA,NA,NA,0,0,0,0
483,Journal of Social Work Practice in the Addictions,2000,NA,NA,NA,0,0,0,0
484,Journal of Social Work Practice in the Addictions,2001,NA,NA,NA,0,39,38.46,0
485,Journal of Social Work Practice in the Addictions,2002,NA,NA,NA,3,27,44.44,0
486,Journal of Social Work Practice in the Addictions,2003,NA,NA,NA,8,32,40.63,0
487,Journal of Social Work Practice in the Addictions,2004,NA,NA,NA,9,29,48.28,0
488,Journal of Social Work Practice in the Addictions,2005,NA,NA,NA,20,28,35.71,0
489,Journal of Social Work Practice in the Addictions,2006,NA,NA,NA,48,35,42.86,28.57
490,Journal of Social Work Practice in the Addictions,2007,0.125,0.136,0.176,57,23,39.13,0
491,Journal of Social Work Practice in the Addictions,2008,0.165,0.257,0.433,75,48,39.58,0
492,Journal of Social Work Practice in the Addictions,2009,0.163,0.231,0.147,89,37,43.24,0
493,Journal of Social Work Practice in the Addictions,2010,0.184,0.387,0.268,104,36,47.22,0
494,Journal of Social Work Practice in the Addictions,2011,0.285,0.589,0.412,140,35,48.57,0
495,Journal of Social Work Practice in the Addictions,2012,0.29,0.638,0.598,152,29,55.17,0
496,Journal of Social Work Practice in the Addictions,2013,0.201,0.39,0.286,169,28,82.14,3.57
497,Journal of Social Work Practice in the Addictions,2014,NA,NA,NA,187,30,90,0
498,Journal of Social Work Practice in the Addictions,2015,NA,NA,NA,11,0,0,0
499,Journal of Social Work in Disability & Rehabilitation,1996,NA,NA,NA,0,0,0,0
500,Journal of Social Work in Disability & Rehabilitation,1997,NA,NA,NA,0,0,0,0
501,Journal of Social Work in Disability & Rehabilitation,1998,NA,NA,NA,0,0,0,0
502,Journal of Social Work in Disability & Rehabilitation,1999,NA,NA,NA,0,0,0,0
503,Journal of Social Work in Disability & Rehabilitation,2000,NA,NA,NA,0,0,0,0
504,Journal of Social Work in Disability & Rehabilitation,2001,NA,NA,NA,0,0,0,0
505,Journal of Social Work in Disability & Rehabilitation,2002,NA,NA,NA,0,34,50,0
506,Journal of Social Work in Disability & Rehabilitation,2003,NA,NA,NA,0,22,54.55,0
507,Journal of Social Work in Disability & Rehabilitation,2004,NA,NA,NA,4,26,50,0
508,Journal of Social Work in Disability & Rehabilitation,2005,NA,NA,NA,6,14,21.43,0
509,Journal of Social Work in Disability & Rehabilitation,2006,NA,NA,NA,8,23,26.09,26.09
510,Journal of Social Work in Disability & Rehabilitation,2007,0.129,0.045,0.007,14,23,26.09,0
511,Journal of Social Work in Disability & Rehabilitation,2008,0.132,0.136,0.044,26,16,18.75,0
512,Journal of Social Work in Disability & Rehabilitation,2009,0.113,0.153,0.281,22,15,33.33,0
513,Journal of Social Work in Disability & Rehabilitation,2010,0.281,0.471,0.471,61,18,22.22,0
514,Journal of Social Work in Disability & Rehabilitation,2011,0.164,0.304,0.19,41,17,29.41,11.76
515,Journal of Social Work in Disability & Rehabilitation,2012,0.223,0.511,0.346,67,16,43.75,0
516,Journal of Social Work in Disability & Rehabilitation,2013,0.179,0.408,0.308,80,19,89.47,0
517,Journal of Social Work in Disability & Rehabilitation,2014,NA,NA,NA,67,19,100,0
518,Journal of Social Work in Disability & Rehabilitation,2015,NA,NA,NA,8,0,0,0
519,Journal of Social Work in End-of-Life & Palliative Care,1996,NA,NA,NA,0,0,0,0
520,Journal of Social Work in End-of-Life & Palliative Care,1997,NA,NA,NA,0,0,0,0
521,Journal of Social Work in End-of-Life & Palliative Care,1998,NA,NA,NA,0,0,0,0
522,Journal of Social Work in End-of-Life & Palliative Care,1999,NA,NA,NA,0,0,0,0
523,Journal of Social Work in End-of-Life & Palliative Care,2000,NA,NA,NA,0,0,0,0
524,Journal of Social Work in End-of-Life & Palliative Care,2001,NA,NA,NA,0,0,0,0
525,Journal of Social Work in End-of-Life & Palliative Care,2002,NA,NA,NA,0,0,0,0
526,Journal of Social Work in End-of-Life & Palliative Care,2003,NA,NA,NA,0,0,0,0
527,Journal of Social Work in End-of-Life & Palliative Care,2004,NA,NA,NA,0,0,0,0
528,Journal of Social Work in End-of-Life & Palliative Care,2005,NA,NA,NA,0,20,25,10
529,Journal of Social Work in End-of-Life & Palliative Care,2006,0.184,NA,NA,12,32,37.5,28.12
530,Journal of Social Work in End-of-Life & Palliative Care,2007,0.248,0.111,0.073,25,34,61.76,0
531,Journal of Social Work in End-of-Life & Palliative Care,2008,0.317,0.167,0.231,48,34,44.12,14.71
532,Journal of Social Work in End-of-Life & Palliative Care,2009,0.238,0.5,0.327,59,18,44.44,5.56
533,Journal of Social Work in End-of-Life & Palliative Care,2010,0.199,0.42,0.266,68,19,47.37,15.79
534,Journal of Social Work in End-of-Life & Palliative Care,2011,0.285,0.636,0.36,105,31,41.94,3.23
535,Journal of Social Work in End-of-Life & Palliative Care,2012,0.285,0.596,0.38,120,28,46.43,3.57
536,Journal of Social Work in End-of-Life & Palliative Care,2013,0.382,0.891,0.73,137,30,63.33,0
537,Journal of Social Work in End-of-Life & Palliative Care,2014,NA,NA,NA,150,29,93.1,0
538,Journal of Social Work in End-of-Life & Palliative Care,2015,NA,NA,NA,8,0,0,0
539,Journal of Teaching in Social Work,1996,NA,NA,NA,16,10,40,0
540,Journal of Teaching in Social Work,1997,NA,NA,NA,16,39,58.97,0
541,Journal of Teaching in Social Work,1998,NA,NA,NA,32,16,12.5,0
542,Journal of Teaching in Social Work,1999,NA,NA,NA,29,38,42.11,0
543,Journal of Teaching in Social Work,2000,NA,NA,NA,31,27,25.93,0
544,Journal of Teaching in Social Work,2001,NA,NA,NA,48,31,29.03,0
545,Journal of Teaching in Social Work,2002,NA,NA,NA,42,30,20,0
546,Journal of Teaching in Social Work,2003,NA,NA,NA,37,33,30.3,0
547,Journal of Teaching in Social Work,2004,NA,NA,NA,60,28,17.86,0
548,Journal of Teaching in Social Work,2005,NA,NA,NA,55,26,26.92,0
549,Journal of Teaching in Social Work,2006,NA,NA,NA,132,27,3.7,3.7
550,Journal of Teaching in Social Work,2007,0.107,0.037,0.154,119,38,23.68,13.16
551,Journal of Teaching in Social Work,2008,0.151,0.167,0.263,166,30,40,0
552,Journal of Teaching in Social Work,2009,0.139,0.157,0.43,156,36,36.11,5.56
553,Journal of Teaching in Social Work,2010,0.204,0.221,0.344,177,38,31.58,5.26
554,Journal of Teaching in Social Work,2011,0.271,0.365,0.642,256,51,43.14,0
555,Journal of Teaching in Social Work,2012,0.393,0.549,0.893,264,39,61.54,2.56
556,Journal of Teaching in Social Work,2013,0.306,0.439,0.583,286,43,72.09,9.3
557,Journal of Teaching in Social Work,2014,NA,NA,NA,324,38,92.11,0
558,Journal of Teaching in Social Work,2015,NA,NA,NA,21,0,0,0
559,Psychoanalytic Social Work,1996,NA,NA,NA,0,0,0,0
560,Psychoanalytic Social Work,1997,NA,NA,NA,0,0,0,0
561,Psychoanalytic Social Work,1998,NA,NA,NA,0,0,0,0
562,Psychoanalytic Social Work,1999,NA,NA,NA,0,25,64,0
563,Psychoanalytic Social Work,2000,NA,NA,NA,0,22,59.09,0
564,Psychoanalytic Social Work,2001,NA,NA,NA,2,21,47.62,0
565,Psychoanalytic Social Work,2002,NA,NA,NA,5,17,52.94,0
566,Psychoanalytic Social Work,2003,NA,NA,NA,5,14,35.71,0
567,Psychoanalytic Social Work,2004,NA,NA,NA,7,16,56.25,0
568,Psychoanalytic Social Work,2005,NA,NA,NA,17,11,45.45,18.18
569,Psychoanalytic Social Work,2006,0.104,0,0,18,19,63.16,15.79
570,Psychoanalytic Social Work,2007,0.122,0.059,0.326,20,13,46.15,0
571,Psychoanalytic Social Work,2008,0.111,0.04,0.048,17,13,84.62,0
572,Psychoanalytic Social Work,2009,0.103,0.071,0.09,17,13,69.23,7.69
573,Psychoanalytic Social Work,2010,0.112,0.077,0.153,25,14,78.57,7.14
574,Psychoanalytic Social Work,2011,0.105,0.038,0.043,27,14,71.43,21.43
575,Psychoanalytic Social Work,2012,0.107,0.074,0.185,23,12,58.33,8.33
576,Psychoanalytic Social Work,2013,0.128,0.143,0.073,29,9,88.89,33.33
577,Psychoanalytic Social Work,2014,NA,NA,NA,28,14,100,0
578,Psychoanalytic Social Work,2015,NA,NA,NA,1,0,0,0
579,Qualitative Social Work,1996,NA,NA,NA,0,0,0,0
580,Qualitative Social Work,1997,NA,NA,NA,0,0,0,0
581,Qualitative Social Work,1998,NA,NA,NA,0,0,0,0
582,Qualitative Social Work,1999,NA,NA,NA,0,0,0,0
583,Qualitative Social Work,2000,NA,NA,NA,0,0,0,0
584,Qualitative Social Work,2001,NA,NA,NA,0,0,0,0
585,Qualitative Social Work,2002,NA,NA,NA,0,10,30,0
586,Qualitative Social Work,2003,NA,NA,NA,1,0,0,0
587,Qualitative Social Work,2004,NA,NA,NA,6,34,23.53,0
588,Qualitative Social Work,2005,NA,NA,NA,20,30,16.67,0
589,Qualitative Social Work,2006,NA,NA,NA,40,31,25.81,0
590,Qualitative Social Work,2007,NA,NA,NA,49,34,23.53,2.94
591,Qualitative Social Work,2008,0.136,0.167,0.353,115,36,36.11,0
592,Qualitative Social Work,2009,0.2,0.313,0.535,138,36,27.78,0
593,Qualitative Social Work,2010,0.445,0.554,0.556,182,42,30.95,4.76
594,Qualitative Social Work,2011,0.279,0.709,0.792,253,34,23.53,2.94
595,Qualitative Social Work,2012,0.45,0.795,0.802,300,42,30.95,0
596,Qualitative Social Work,2013,0.471,0.957,1.054,401,53,62.26,5.66
597,Qualitative Social Work,2014,NA,NA,NA,367,58,86.21,1.72
598,Qualitative Social Work,2015,NA,NA,NA,39,9,100,0
599,Research on Social Work Practice,1997,NA,NA,NA,83,35,22.86,5.71
600,Research on Social Work Practice,1998,NA,NA,NA,119,54,25.93,7.41
601,Research on Social Work Practice,1999,0.301,0.402,0.562,133,57,21.05,1.75
602,Research on Social Work Practice,2000,0.28,0.291,0.426,138,60,33.33,3.33
603,Research on Social Work Practice,2001,0.415,0.575,0.692,198,54,24.07,7.41
604,Research on Social Work Practice,2002,0.33,0.471,0.768,219,53,18.87,11.32
605,Research on Social Work Practice,2003,0.271,0.383,0.533,230,45,11.11,40
606,Research on Social Work Practice,2004,0.367,0.569,0.736,304,48,10.42,6.25
607,Research on Social Work Practice,2005,0.346,0.583,0.799,381,58,15.52,31.03
608,Research on Social Work Practice,2006,0.409,0.763,1.004,482,84,33.33,15.48
609,Research on Social Work Practice,2007,0.621,1.014,0.81,627,116,43.97,4.31
610,Research on Social Work Practice,2008,0.714,1.086,1.271,810,75,24,6.67
611,Research on Social Work Practice,2009,0.855,1.304,1.068,951,86,22.09,6.98
612,Research on Social Work Practice,2010,0.815,1.53,1.25,1048,90,31.11,4.44
613,Research on Social Work Practice,2011,0.904,1.717,1.449,1235,81,29.63,14.81
614,Research on Social Work Practice,2012,0.811,1.734,1.381,1360,77,29.87,36.36
615,Research on Social Work Practice,2013,0.655,1.474,1.159,1485,67,55.22,13.43
616,Research on Social Work Practice,2014,NA,NA,NA,1408,68,70.59,2.94
617,Research on Social Work Practice,2015,NA,NA,NA,101,13,100,0
618,Smith College Studies in Social Work,1996,NA,NA,NA,45,48,20.83,6.25
619,Smith College Studies in Social Work,1997,NA,NA,NA,45,22,36.36,4.55
620,Smith College Studies in Social Work,1998,NA,NA,NA,46,33,27.27,0
621,Smith College Studies in Social Work,1999,0.251,0.169,0.187,72,22,59.09,0
622,Smith College Studies in Social Work,2000,0.152,0.151,0.262,71,46,43.48,19.57
623,Smith College Studies in Social Work,2001,0.191,0.257,0.376,69,27,55.56,0
624,Smith College Studies in Social Work,2002,0.11,0.115,0.12,69,15,60,13.33
625,Smith College Studies in Social Work,2003,0.112,0.116,0.158,70,28,35.71,78.57
626,Smith College Studies in Social Work,2004,0.118,0.076,0.227,86,32,34.38,50
627,Smith College Studies in Social Work,2005,0.105,0.079,0.107,82,31,54.84,38.71
628,Smith College Studies in Social Work,2006,0.122,0.148,0.174,86,41,68.29,31.71
629,Smith College Studies in Social Work,2007,0.127,0.235,0.282,100,20,60,0
630,Smith College Studies in Social Work,2008,0.129,0.175,0.347,126,37,59.46,2.7
631,Smith College Studies in Social Work,2009,0.101,0.1,0.277,109,38,44.74,5.26
632,Smith College Studies in Social Work,2010,0.121,0.174,0.337,122,28,39.29,0
633,Smith College Studies in Social Work,2011,0.2,0.357,0.259,143,21,52.38,0
634,Smith College Studies in Social Work,2012,0.363,0.76,0.656,197,27,48.15,0
635,Smith College Studies in Social Work,2013,0.325,0.44,0.404,151,25,92,0
636,Smith College Studies in Social Work,2014,NA,NA,NA,133,25,96,0
637,Smith College Studies in Social Work,2015,NA,NA,NA,9,0,0,0
638,Social Work,1996,NA,NA,NA,841,121,43.8,3.31
639,Social Work,1997,NA,NA,NA,875,88,36.36,3.41
640,Social Work,1998,NA,NA,NA,867,72,25,8.33
641,Social Work,1999,0.957,1.103,1.785,1004,60,13.33,3.33
642,Social Work,2000,0.709,0.884,1.258,1066,68,39.71,5.88
643,Social Work,2001,0.622,1.064,1.988,966,53,22.64,5.66
644,Social Work,2002,1.031,1.179,1.589,1140,50,14,4
645,Social Work,2003,0.741,1.095,1.904,1143,69,10.14,21.74
646,Social Work,2004,0.701,1.043,1.647,1051,76,19.74,27.63
647,Social Work,2005,0.459,0.806,1.161,1253,52,23.08,17.31
648,Social Work,2006,0.477,0.871,1.477,1575,63,33.33,26.98
649,Social Work,2007,0.6,0.937,1.271,1598,59,30.51,18.64
650,Social Work,2008,0.534,1,1.318,1704,42,7.14,26.19
651,Social Work,2009,1.077,1.699,1.721,1722,44,11.36,4.55
652,Social Work,2010,0.617,1.43,1.878,1860,51,23.53,5.88
653,Social Work,2011,0.652,1.296,1.499,1874,48,27.08,10.42
654,Social Work,2012,0.477,0.958,0.867,2043,39,38.46,23.08
655,Social Work,2013,0.483,1.133,1.041,2022,49,63.27,4.08
656,Social Work,2014,NA,NA,NA,1390,37,86.49,8.11
657,Social Work,2015,NA,NA,NA,103,0,0,0
658,Social Work & Society,1996,NA,NA,NA,0,0,0,0
659,Social Work & Society,1997,NA,NA,NA,0,0,0,0
660,Social Work & Society,1998,NA,NA,NA,0,0,0,0
661,Social Work & Society,1999,NA,NA,NA,0,0,0,0
662,Social Work & Society,2000,NA,NA,NA,0,0,0,0
663,Social Work & Society,2001,NA,NA,NA,0,0,0,0
664,Social Work & Society,2002,NA,NA,NA,0,0,0,0
665,Social Work & Society,2003,NA,NA,NA,0,19,68.42,0
666,Social Work & Society,2004,NA,NA,NA,0,36,47.22,0
667,Social Work & Society,2005,NA,NA,NA,0,27,40.74,0
668,Social Work & Society,2006,NA,NA,NA,1,23,34.78,0
669,Social Work & Society,2007,NA,NA,NA,7,18,61.11,0
670,Social Work & Society,2008,NA,NA,NA,28,24,50,0
671,Social Work & Society,2009,NA,NA,NA,26,26,57.69,0
672,Social Work & Society,2010,NA,NA,NA,31,20,45,0
673,Social Work & Society,2011,NA,NA,NA,50,28,67.86,0
674,Social Work & Society,2012,NA,NA,NA,73,37,81.08,0
675,Social Work & Society,2013,0.101,0,0,58,8,100,0
676,Social Work & Society,2014,NA,NA,NA,68,20,100,0
677,Social Work & Society,2015,NA,NA,NA,4,0,0,0
678,Social Work Education,1996,NA,NA,NA,18,29,51.72,0
679,Social Work Education,1997,NA,NA,NA,8,18,33.33,0
680,Social Work Education,1998,NA,NA,NA,8,43,48.84,0
681,Social Work Education,1999,NA,NA,NA,11,48,33.33,0
682,Social Work Education,2000,NA,NA,NA,12,63,28.57,0
683,Social Work Education,2001,NA,NA,NA,9,85,51.76,0
684,Social Work Education,2002,NA,NA,NA,35,87,54.02,0
685,Social Work Education,2003,NA,NA,NA,44,70,38.57,0
686,Social Work Education,2004,NA,NA,NA,84,65,35.38,0
687,Social Work Education,2005,NA,NA,NA,91,77,36.36,0
688,Social Work Education,2006,NA,NA,NA,157,93,35.48,0
689,Social Work Education,2007,NA,NA,NA,206,85,41.18,0
690,Social Work Education,2008,NA,NA,NA,427,92,32.61,1.09
691,Social Work Education,2009,0.202,0.063,0.131,471,95,35.79,0
692,Social Work Education,2010,0.481,0.447,0.808,638,98,45.92,2.04
693,Social Work Education,2011,0.507,0.758,0.867,642,96,38.54,0
694,Social Work Education,2012,0.559,0.676,0.749,668,85,44.71,7.06
695,Social Work Education,2013,0.532,0.827,1.051,898,79,68.35,3.8
696,Social Work Education,2014,NA,NA,NA,714,87,82.76,3.45
697,Social Work Education,2015,NA,NA,NA,92,10,100,0
698,Social Work Research,1996,NA,NA,NA,12,22,0,4.55
699,Social Work Research,1997,NA,NA,NA,21,23,4.35,8.7
700,Social Work Research,1998,NA,NA,NA,50,23,4.35,0
701,Social Work Research,1999,0.516,0.636,0.989,71,23,8.7,0
702,Social Work Research,2000,0.341,0.703,1.023,113,26,26.92,0
703,Social Work Research,2001,0.613,0.881,1.113,144,24,4.17,0
704,Social Work Research,2002,0.595,1.151,1.419,171,23,4.35,0
705,Social Work Research,2003,0.365,0.529,0.782,162,23,4.35,0
706,Social Work Research,2004,0.456,0.878,0.891,222,26,11.54,3.85
707,Social Work Research,2005,0.331,0.66,0.68,285,23,8.7,8.7
708,Social Work Research,2006,0.412,0.904,1.048,355,22,4.55,4.55
709,Social Work Research,2007,0.564,1.037,1.158,429,24,12.5,0
710,Social Work Research,2008,0.583,0.981,0.912,431,33,6.06,9.09
711,Social Work Research,2009,0.371,0.735,0.915,497,24,20.83,8.33
712,Social Work Research,2010,0.411,0.757,0.735,557,26,19.23,11.54
713,Social Work Research,2011,0.439,0.931,0.944,573,27,33.33,40.74
714,Social Work Research,2012,0.48,1.015,0.815,665,29,34.48,27.59
715,Social Work Research,2013,0.305,0.699,0.663,586,41,53.66,36.59
716,Social Work Research,2014,NA,NA,NA,510,20,90,10
717,Social Work Research,2015,NA,NA,NA,29,0,0,0
718,Social Work & Social Sciences Review,1996,NA,NA,NA,27,15,73.33,0
719,Social Work & Social Sciences Review,1997,NA,NA,NA,31,27,70.37,0
720,Social Work & Social Sciences Review,1998,NA,NA,NA,38,12,83.33,0
721,Social Work & Social Sciences Review,1999,0.101,0,0,47,0,0,0
722,Social Work & Social Sciences Review,2000,0.105,0.118,0.594,45,25,76,8
723,Social Work & Social Sciences Review,2001,0.102,0,0,40,21,71.43,0
724,Social Work & Social Sciences Review,2002,0.224,0.167,0.05,44,25,60,0
725,Social Work & Social Sciences Review,2003,0.221,0.167,0.106,35,0,0,0
726,Social Work & Social Sciences Review,2004,NA,NA,NA,28,23,47.83,0
727,Social Work & Social Sciences Review,2005,NA,NA,NA,36,11,45.45,0
728,Social Work & Social Sciences Review,2006,0.104,0,0,27,0,0,0
729,Social Work & Social Sciences Review,2007,0.538,0.25,0.104,46,23,60.87,4.35
730,Social Work & Social Sciences Review,2008,0.134,0.2,0.215,41,4,50,0
731,Social Work & Social Sciences Review,2009,0.183,0.067,0.05,38,0,0,0
732,Social Work & Social Sciences Review,2010,0.166,0.2,0.238,37,12,25,41.67
733,Social Work & Social Sciences Review,2011,0.102,0,0,41,28,71.43,60.71
734,Social Work & Social Sciences Review,2012,0.116,0.061,0.075,34,6,100,33.33
735,Social Work & Social Sciences Review,2013,0.167,0.282,0.173,51,14,78.57,0
736,Social Work & Social Sciences Review,2014,NA,NA,NA,37,13,100,15.38
737,Social Work & Social Sciences Review,2015,NA,NA,NA,1,0,0,0
738,Social Work in Health Care,1996,NA,NA,NA,267,55,27.27,20
