Journal,Year,SJR,IPP,SNIP,Citations,Documents,% Not Cited,% Review
Journal of Religion and Spirituality in Social Work,2010,0.357,0.565,0.386,86,24,33.33,0
Journal of Religion and Spirituality in Social Work,2011,0.607,0.855,0.899,101,28,53.57,0
Journal of Religion and Spirituality in Social Work,2012,0.296,0.554,0.457,133,21,52.38,0
Journal of Religion and Spirituality in Social Work,2013,0.251,0.422,0.427,163,23,91.3,4.35
Journal of Religion and Spirituality in Social Work,2014, , , ,68,14,100,0
Journal of Religion and Spirituality in Social Work,2015, , , ,5,0,0,0
Journal of Social Work,1996, , , ,0,0,0,0
Journal of Social Work,1997, , , ,0,0,0,0
Journal of Social Work,1998, , , ,0,0,0,0
Journal of Social Work,1999, , , ,0,0,0,0
Journal of Social Work,2000, , , ,0,0,0,0
Journal of Social Work,2001, , , ,1,41,53.66,0
Journal of Social Work,2002, , , ,2,38,57.89,0
Journal of Social Work,2003, , , ,19,29,34.48,0
Journal of Social Work,2004, , , ,28,35,48.57,0
Journal of Social Work,2005, , , ,27,39,56.41,0
Journal of Social Work,2006, , , ,53,35,51.43,0
Journal of Social Work,2007, , , ,90,34,55.88,0
Journal of Social Work,2008, , , ,116,42,57.14,0
Journal of Social Work,2009,0.123,0.15,0.196,133,45,46.67,2.22
Journal of Social Work,2010,0.549,0.405,0.859,201,45,60,2.22
Journal of Social Work,2011,0.521,1.081,1.256,230,45,48.89,6.67
Journal of Social Work,2012,1.137,1.364,1.599,293,32,34.38,3.12
Journal of Social Work,2013,0.66,1.013,1.246,334,31,58.06,6.45
Journal of Social Work,2014, , , ,302,33,81.82,3.03
Journal of Social Work,2015, , , ,26,0,0,0
Journal of Social Work Education,1996, , , ,94,31,3.23,0
Journal of Social Work Education,1997, , , ,71,88,54.55,0
Journal of Social Work Education,1998, , , ,107,79,58.23,0
Journal of Social Work Education,1999,0.258,0.2,1.171,211,131,71.76,0
Journal of Social Work Education,2000,0.39,0.359,1.72,208,151,71.52,0
Journal of Social Work Education,2001,0.265,0.375,0.975,201,160,77.5,0
Journal of Social Work Education,2002,0.513,0.707,1.313,207,104,70.19,1.92
Journal of Social Work Education,2003,0.363,0.517,1.119,247,89,65.17,10.11
Journal of Social Work Education,2004,0.307,0.446,0.905,247,45,35.56,28.89
Journal of Social Work Education,2005,0.397,0.889,1.504,497,70,51.43,31.43
Journal of Social Work Education,2006,0.488,0.761,1.123,637,55,29.09,9.09
Journal of Social Work Education,2007,0.526,0.515,0.7,635,35,11.43,22.86
Journal of Social Work Education,2008,0.559,0.931,1.322,696,51,17.65,9.8
Journal of Social Work Education,2009,0.53,0.723,0.98,660,35,14.29,5.71
Journal of Social Work Education,2010,0.597,0.99,1.205,742,39,38.46,5.13
Journal of Social Work Education,2011,0.62,0.99,1.495,907,40,7.5,25
Journal of Social Work Education,2012,0.667,1.104,1.366,980,52,57.69,17.31
Journal of Social Work Education,2013,0.595,0.896,1.228,1165,59,44.07,18.64
Journal of Social Work Education,2014, , , ,759,46,95.65,4.35
Journal of Social Work Education,2015, , , ,82,16,100,6.25
Journal of Social Work Practice,1996, , , ,10,24,62.5,0
Journal of Social Work Practice,1997, , , ,10,21,71.43,0
Journal of Social Work Practice,1998, , , ,8,30,53.33,0
Journal of Social Work Practice,1999,0.19,0.122,0.46,18,25,52,0
Journal of Social Work Practice,2000,0.142,0.106,0.345,21,18,33.33,0
Journal of Social Work Practice,2001,0.14,0.16,0.566,19,18,27.78,0
Journal of Social Work Practice,2002,0.189,0.238,0.852,33,27,29.63,7.41
Journal of Social Work Practice,2003,0.216,0.279,0.705,29,22,45.45,54.55
Journal of Social Work Practice,2004,0.127,0.089,0.201,34,38,36.84,65.79
Journal of Social Work Practice,2005,0.147,0.14,0.451,59,32,43.75,0
Journal of Social Work Practice,2006,0.242,0.367,0.514,70,34,35.29,11.76
Journal of Social Work Practice,2007,0.171,0.176,0.293,93,44,40.91,15.91
Journal of Social Work Practice,2008,0.231,0.28,0.366,118,37,43.24,27.03
Journal of Social Work Practice,2009,0.291,0.312,0.513,120,40,35,0
Journal of Social Work Practice,2010,0.218,0.218,0.345,160,44,47.73,0
Journal of Social Work Practice,2011,0.337,0.5,0.509,194,42,52.38,4.76
Journal of Social Work Practice,2012,0.52,0.554,0.936,222,33,63.64,3.03
Journal of Social Work Practice,2013,0.308,0.449,0.439,256,33,75.76,3.03
Journal of Social Work Practice,2014, , , ,176,47,93.62,2.13
Journal of Social Work Practice,2015, , , ,15,3,100,0
Journal of Social Work Practice in the Addictions,1996, , , ,0,0,0,0
Journal of Social Work Practice in the Addictions,1997, , , ,0,0,0,0
Journal of Social Work Practice in the Addictions,1998, , , ,0,0,0,0
Journal of Social Work Practice in the Addictions,1999, , , ,0,0,0,0
Journal of Social Work Practice in the Addictions,2000, , , ,0,0,0,0
Journal of Social Work Practice in the Addictions,2001, , , ,0,39,38.46,0
Journal of Social Work Practice in the Addictions,2002, , , ,3,27,44.44,0
Journal of Social Work Practice in the Addictions,2003, , , ,8,32,40.63,0
Journal of Social Work Practice in the Addictions,2004, , , ,9,29,48.28,0
Journal of Social Work Practice in the Addictions,2005, , , ,20,28,35.71,0
Journal of Social Work Practice in the Addictions,2006, , , ,48,35,42.86,28.57
Journal of Social Work Practice in the Addictions,2007,0.125,0.136,0.176,57,23,39.13,0
Journal of Social Work Practice in the Addictions,2008,0.165,0.257,0.433,75,48,39.58,0
Journal of Social Work Practice in the Addictions,2009,0.163,0.231,0.147,89,37,43.24,0
Journal of Social Work Practice in the Addictions,2010,0.184,0.387,0.268,104,36,47.22,0
Journal of Social Work Practice in the Addictions,2011,0.285,0.589,0.412,140,35,48.57,0
Journal of Social Work Practice in the Addictions,2012,0.29,0.638,0.598,152,29,55.17,0
Journal of Social Work Practice in the Addictions,2013,0.201,0.39,0.286,169,28,82.14,3.57
Journal of Social Work Practice in the Addictions,2014, , , ,187,30,90,0
Journal of Social Work Practice in the Addictions,2015, , , ,11,0,0,0
Journal of Social Work in Disability and Rehabilitation,1996, , , ,0,0,0,0
Journal of Social Work in Disability and Rehabilitation,1997, , , ,0,0,0,0
Journal of Social Work in Disability and Rehabilitation,1998, , , ,0,0,0,0
Journal of Social Work in Disability and Rehabilitation,1999, , , ,0,0,0,0
Journal of Social Work in Disability and Rehabilitation,2000, , , ,0,0,0,0
Journal of Social Work in Disability and Rehabilitation,2001, , , ,0,0,0,0
Journal of Social Work in Disability and Rehabilitation,2002, , , ,0,34,50,0
Journal of Social Work in Disability and Rehabilitation,2003, , , ,0,22,54.55,0
Journal of Social Work in Disability and Rehabilitation,2004, , , ,4,26,50,0
Journal of Social Work in Disability and Rehabilitation,2005, , , ,6,14,21.43,0
Journal of Social Work in Disability and Rehabilitation,2006, , , ,8,23,26.09,26.09
Journal of Social Work in Disability and Rehabilitation,2007,0.129,0.045,0.007,14,23,26.09,0
Journal of Social Work in Disability and Rehabilitation,2008,0.132,0.136,0.044,26,16,18.75,0
Journal of Social Work in Disability and Rehabilitation,2009,0.113,0.153,0.281,22,15,33.33,0
Journal of Social Work in Disability and Rehabilitation,2010,0.281,0.471,0.471,61,18,22.22,0
Journal of Social Work in Disability and Rehabilitation,2011,0.164,0.304,0.19,41,17,29.41,11.76
Journal of Social Work in Disability and Rehabilitation,2012,0.223,0.511,0.346,67,16,43.75,0
Journal of Social Work in Disability and Rehabilitation,2013,0.179,0.408,0.308,80,19,89.47,0
Journal of Social Work in Disability and Rehabilitation,2014, , , ,67,19,100,0
Journal of Social Work in Disability and Rehabilitation,2015, , , ,8,0,0,0
Journal of Social Work in End-of-Life and Palliative Care,1996, , , ,0,0,0,0
Journal of Social Work in End-of-Life and Palliative Care,1997, , , ,0,0,0,0
Journal of Social Work in End-of-Life and Palliative Care,1998, , , ,0,0,0,0
Journal of Social Work in End-of-Life and Palliative Care,1999, , , ,0,0,0,0
Journal of Social Work in End-of-Life and Palliative Care,2000, , , ,0,0,0,0
Journal of Social Work in End-of-Life and Palliative Care,2001, , , ,0,0,0,0
Journal of Social Work in End-of-Life and Palliative Care,2002, , , ,0,0,0,0
Journal of Social Work in End-of-Life and Palliative Care,2003, , , ,0,0,0,0
Journal of Social Work in End-of-Life and Palliative Care,2004, , , ,0,0,0,0
Journal of Social Work in End-of-Life and Palliative Care,2005, , , ,0,20,25,10
Journal of Social Work in End-of-Life and Palliative Care,2006,0.184, , ,12,32,37.5,28.12
Journal of Social Work in End-of-Life and Palliative Care,2007,0.248,0.111,0.073,25,34,61.76,0
Journal of Social Work in End-of-Life and Palliative Care,2008,0.317,0.167,0.231,48,34,44.12,14.71
Journal of Social Work in End-of-Life and Palliative Care,2009,0.238,0.5,0.327,59,18,44.44,5.56
Journal of Social Work in End-of-Life and Palliative Care,2010,0.199,0.42,0.266,68,19,47.37,15.79
Journal of Social Work in End-of-Life and Palliative Care,2011,0.285,0.636,0.36,105,31,41.94,3.23
Journal of Social Work in End-of-Life and Palliative Care,2012,0.285,0.596,0.38,120,28,46.43,3.57
Journal of Social Work in End-of-Life and Palliative Care,2013,0.382,0.891,0.73,137,30,63.33,0
Journal of Social Work in End-of-Life and Palliative Care,2014, , , ,150,29,93.1,0
Journal of Social Work in End-of-Life and Palliative Care,2015, , , ,8,0,0,0
Journal of Teaching in Social Work,1996, , , ,16,10,40,0
Journal of Teaching in Social Work,1997, , , ,16,39,58.97,0
Journal of Teaching in Social Work,1998, , , ,32,16,12.5,0
Journal of Teaching in Social Work,1999, , , ,29,38,42.11,0
Journal of Teaching in Social Work,2000, , , ,31,27,25.93,0
Journal of Teaching in Social Work,2001, , , ,48,31,29.03,0
Journal of Teaching in Social Work,2002, , , ,42,30,20,0
Journal of Teaching in Social Work,2003, , , ,37,33,30.3,0
Journal of Teaching in Social Work,2004, , , ,60,28,17.86,0
Journal of Teaching in Social Work,2005, , , ,55,26,26.92,0
Journal of Teaching in Social Work,2006, , , ,132,27,3.7,3.7
Journal of Teaching in Social Work,2007,0.107,0.037,0.154,119,38,23.68,13.16
Journal of Teaching in Social Work,2008,0.151,0.167,0.263,166,30,40,0
Journal of Teaching in Social Work,2009,0.139,0.157,0.43,156,36,36.11,5.56
Journal of Teaching in Social Work,2010,0.204,0.221,0.344,177,38,31.58,5.26
Journal of Teaching in Social Work,2011,0.271,0.365,0.642,256,51,43.14,0
Journal of Teaching in Social Work,2012,0.393,0.549,0.893,264,39,61.54,2.56
Journal of Teaching in Social Work,2013,0.306,0.439,0.583,286,43,72.09,9.3
Journal of Teaching in Social Work,2014, , , ,324,38,92.11,0
Journal of Teaching in Social Work,2015, , , ,21,0,0,0
Psychoanalytic Social Work,1996, , , ,0,0,0,0
Psychoanalytic Social Work,1997, , , ,0,0,0,0
Psychoanalytic Social Work,1998, , , ,0,0,0,0
Psychoanalytic Social Work,1999, , , ,0,25,64,0
Psychoanalytic Social Work,2000, , , ,0,22,59.09,0
Psychoanalytic Social Work,2001, , , ,2,21,47.62,0
Psychoanalytic Social Work,2002, , , ,5,17,52.94,0
Psychoanalytic Social Work,2003, , , ,5,14,35.71,0
Psychoanalytic Social Work,2004, , , ,7,16,56.25,0
Psychoanalytic Social Work,2005, , , ,17,11,45.45,18.18
Psychoanalytic Social Work,2006,0.104,0,0,18,19,63.16,15.79
Psychoanalytic Social Work,2007,0.122,0.059,0.326,20,13,46.15,0
Psychoanalytic Social Work,2008,0.111,0.04,0.048,17,13,84.62,0
Psychoanalytic Social Work,2009,0.103,0.071,0.09,17,13,69.23,7.69
Psychoanalytic Social Work,2010,0.112,0.077,0.153,25,14,78.57,7.14
Psychoanalytic Social Work,2011,0.105,0.038,0.043,27,14,71.43,21.43
Psychoanalytic Social Work,2012,0.107,0.074,0.185,23,12,58.33,8.33
Psychoanalytic Social Work,2013,0.128,0.143,0.073,29,9,88.89,33.33
Psychoanalytic Social Work,2014, , , ,28,14,100,0
Psychoanalytic Social Work,2015, , , ,1,0,0,0
Qualitative Social Work,1996, , , ,0,0,0,0
Qualitative Social Work,1997, , , ,0,0,0,0
Qualitative Social Work,1998, , , ,0,0,0,0
Qualitative Social Work,1999, , , ,0,0,0,0
Qualitative Social Work,2000, , , ,0,0,0,0
Qualitative Social Work,2001, , , ,0,0,0,0
Qualitative Social Work,2002, , , ,0,10,30,0
Qualitative Social Work,2003, , , ,1,0,0,0
Qualitative Social Work,2004, , , ,6,34,23.53,0
Qualitative Social Work,2005, , , ,20,30,16.67,0
Qualitative Social Work,2006, , , ,40,31,25.81,0
Qualitative Social Work,2007, , , ,49,34,23.53,2.94
Qualitative Social Work,2008,0.136,0.167,0.353,115,36,36.11,0
Qualitative Social Work,2009,0.2,0.313,0.535,138,36,27.78,0
Qualitative Social Work,2010,0.445,0.554,0.556,182,42,30.95,4.76
Qualitative Social Work,2011,0.279,0.709,0.792,253,34,23.53,2.94
Qualitative Social Work,2012,0.45,0.795,0.802,300,42,30.95,0
Qualitative Social Work,2013,0.471,0.957,1.054,401,53,62.26,5.66
Qualitative Social Work,2014, , , ,367,58,86.21,1.72
Qualitative Social Work,2015, , , ,39,9,100,0
Research on Social Work Practice,1997, , , ,83,35,22.86,5.71
Research on Social Work Practice,1998, , , ,119,54,25.93,7.41
Research on Social Work Practice,1999,0.301,0.402,0.562,133,57,21.05,1.75
Research on Social Work Practice,2000,0.28,0.291,0.426,138,60,33.33,3.33
Research on Social Work Practice,2001,0.415,0.575,0.692,198,54,24.07,7.41
Research on Social Work Practice,2002,0.33,0.471,0.768,219,53,18.87,11.32
Research on Social Work Practice,2003,0.271,0.383,0.533,230,45,11.11,40
Research on Social Work Practice,2004,0.367,0.569,0.736,304,48,10.42,6.25
Research on Social Work Practice,2005,0.346,0.583,0.799,381,58,15.52,31.03
Research on Social Work Practice,2006,0.409,0.763,1.004,482,84,33.33,15.48
Research on Social Work Practice,2007,0.621,1.014,0.81,627,116,43.97,4.31
Research on Social Work Practice,2008,0.714,1.086,1.271,810,75,24,6.67
Research on Social Work Practice,2009,0.855,1.304,1.068,951,86,22.09,6.98
Research on Social Work Practice,2010,0.815,1.53,1.25,1048,90,31.11,4.44
Research on Social Work Practice,2011,0.904,1.717,1.449,1235,81,29.63,14.81
Research on Social Work Practice,2012,0.811,1.734,1.381,1360,77,29.87,36.36
Research on Social Work Practice,2013,0.655,1.474,1.159,1485,67,55.22,13.43
Research on Social Work Practice,2014, , , ,1408,68,70.59,2.94
Research on Social Work Practice,2015, , , ,101,13,100,0
Smith College Studies in Social Work,1996, , , ,45,48,20.83,6.25
Smith College Studies in Social Work,1997, , , ,45,22,36.36,4.55
Smith College Studies in Social Work,1998, , , ,46,33,27.27,0
Smith College Studies in Social Work,1999,0.251,0.169,0.187,72,22,59.09,0
Smith College Studies in Social Work,2000,0.152,0.151,0.262,71,46,43.48,19.57
Smith College Studies in Social Work,2001,0.191,0.257,0.376,69,27,55.56,0
Smith College Studies in Social Work,2002,0.11,0.115,0.12,69,15,60,13.33
Smith College Studies in Social Work,2003,0.112,0.116,0.158,70,28,35.71,78.57
Smith College Studies in Social Work,2004,0.118,0.076,0.227,86,32,34.38,50
Smith College Studies in Social Work,2005,0.105,0.079,0.107,82,31,54.84,38.71
Smith College Studies in Social Work,2006,0.122,0.148,0.174,86,41,68.29,31.71
Smith College Studies in Social Work,2007,0.127,0.235,0.282,100,20,60,0
Smith College Studies in Social Work,2008,0.129,0.175,0.347,126,37,59.46,2.7
Smith College Studies in Social Work,2009,0.101,0.1,0.277,109,38,44.74,5.26
Smith College Studies in Social Work,2010,0.121,0.174,0.337,122,28,39.29,0
Smith College Studies in Social Work,2011,0.2,0.357,0.259,143,21,52.38,0
Smith College Studies in Social Work,2012,0.363,0.76,0.656,197,27,48.15,0
Smith College Studies in Social Work,2013,0.325,0.44,0.404,151,25,92,0
Smith College Studies in Social Work,2014, , , ,133,25,96,0
Smith College Studies in Social Work,2015, , , ,9,0,0,0
Social Work,1996, , , ,841,121,43.8,3.31
Social Work,1997, , , ,875,88,36.36,3.41
Social Work,1998, , , ,867,72,25,8.33
Social Work,1999,0.957,1.103,1.785,1004,60,13.33,3.33
Social Work,2000,0.709,0.884,1.258,1066,68,39.71,5.88
Social Work,2001,0.622,1.064,1.988,966,53,22.64,5.66
Social Work,2002,1.031,1.179,1.589,1140,50,14,4
Social Work,2003,0.741,1.095,1.904,1143,69,10.14,21.74
Social Work,2004,0.701,1.043,1.647,1051,76,19.74,27.63
Social Work,2005,0.459,0.806,1.161,1253,52,23.08,17.31
Social Work,2006,0.477,0.871,1.477,1575,63,33.33,26.98
Social Work,2007,0.6,0.937,1.271,1598,59,30.51,18.64
Social Work,2008,0.534,1,1.318,1704,42,7.14,26.19
Social Work,2009,1.077,1.699,1.721,1722,44,11.36,4.55
Social Work,2010,0.617,1.43,1.878,1860,51,23.53,5.88
Social Work,2011,0.652,1.296,1.499,1874,48,27.08,10.42
Social Work,2012,0.477,0.958,0.867,2043,39,38.46,23.08
Social Work,2013,0.483,1.133,1.041,2022,49,63.27,4.08
Social Work,2014, , , ,1390,37,86.49,8.11
Social Work,2015, , , ,103,0,0,0
Social Work & Society,1996, , , ,0,0,0,0
Social Work & Society,1997, , , ,0,0,0,0
Social Work & Society,1998, , , ,0,0,0,0
Social Work & Society,1999, , , ,0,0,0,0
Social Work & Society,2000, , , ,0,0,0,0
Social Work & Society,2001, , , ,0,0,0,0
Social Work & Society,2002, , , ,0,0,0,0
Social Work & Society,2003, , , ,0,19,68.42,0
Social Work & Society,2004, , , ,0,36,47.22,0
Social Work & Society,2005, , , ,0,27,40.74,0
Social Work & Society,2006, , , ,1,23,34.78,0
Social Work & Society,2007, , , ,7,18,61.11,0
Social Work & Society,2008, , , ,28,24,50,0
Social Work & Society,2009, , , ,26,26,57.69,0
Social Work & Society,2010, , , ,31,20,45,0
Social Work & Society,2011, , , ,50,28,67.86,0
Social Work & Society,2012, , , ,73,37,81.08,0
Social Work & Society,2013,0.101,0,0,58,8,100,0
Social Work & Society,2014, , , ,68,20,100,0
Social Work & Society,2015, , , ,4,0,0,0
Social Work Education,1996, , , ,18,29,51.72,0
Social Work Education,1997, , , ,8,18,33.33,0
Social Work Education,1998, , , ,8,43,48.84,0
Social Work Education,1999, , , ,11,48,33.33,0
Social Work Education,2000, , , ,12,63,28.57,0
Social Work Education,2001, , , ,9,85,51.76,0
Social Work Education,2002, , , ,35,87,54.02,0
Social Work Education,2003, , , ,44,70,38.57,0
Social Work Education,2004, , , ,84,65,35.38,0
Social Work Education,2005, , , ,91,77,36.36,0
Social Work Education,2006, , , ,157,93,35.48,0
Social Work Education,2007, , , ,206,85,41.18,0
Social Work Education,2008, , , ,427,92,32.61,1.09
Social Work Education,2009,0.202,0.063,0.131,471,95,35.79,0
Social Work Education,2010,0.481,0.447,0.808,638,98,45.92,2.04
Social Work Education,2011,0.507,0.758,0.867,642,96,38.54,0
Social Work Education,2012,0.559,0.676,0.749,668,85,44.71,7.06
Social Work Education,2013,0.532,0.827,1.051,898,79,68.35,3.8
Social Work Education,2014, , , ,714,87,82.76,3.45
Social Work Education,2015, , , ,92,10,100,0
Social Work Research,1996, , , ,12,22,0,4.55
Social Work Research,1997, , , ,21,23,4.35,8.7
Social Work Research,1998, , , ,50,23,4.35,0
Social Work Research,1999,0.516,0.636,0.989,71,23,8.7,0
Social Work Research,2000,0.341,0.703,1.023,113,26,26.92,0
Social Work Research,2001,0.613,0.881,1.113,144,24,4.17,0
Social Work Research,2002,0.595,1.151,1.419,171,23,4.35,0
Social Work Research,2003,0.365,0.529,0.782,162,23,4.35,0
Social Work Research,2004,0.456,0.878,0.891,222,26,11.54,3.85
Social Work Research,2005,0.331,0.66,0.68,285,23,8.7,8.7
Social Work Research,2006,0.412,0.904,1.048,355,22,4.55,4.55
Social Work Research,2007,0.564,1.037,1.158,429,24,12.5,0
Social Work Research,2008,0.583,0.981,0.912,431,33,6.06,9.09
Social Work Research,2009,0.371,0.735,0.915,497,24,20.83,8.33
Social Work Research,2010,0.411,0.757,0.735,557,26,19.23,11.54
Social Work Research,2011,0.439,0.931,0.944,573,27,33.33,40.74
Social Work Research,2012,0.48,1.015,0.815,665,29,34.48,27.59
Social Work Research,2013,0.305,0.699,0.663,586,41,53.66,36.59
Social Work Research,2014, , , ,510,20,90,10
Social Work Research,2015, , , ,29,0,0,0
Social Work and Social Sciences Review,1996, , , ,27,15,73.33,0
Social Work and Social Sciences Review,1997, , , ,31,27,70.37,0
Social Work and Social Sciences Review,1998, , , ,38,12,83.33,0
Social Work and Social Sciences Review,1999,0.101,0,0,47,0,0,0
Social Work and Social Sciences Review,2000,0.105,0.118,0.594,45,25,76,8
Social Work and Social Sciences Review,2001,0.102,0,0,40,21,71.43,0
Social Work and Social Sciences Review,2002,0.224,0.167,0.05,44,25,60,0
Social Work and Social Sciences Review,2003,0.221,0.167,0.106,35,0,0,0
Social Work and Social Sciences Review,2004, , , ,28,23,47.83,0
Social Work and Social Sciences Review,2005, , , ,36,11,45.45,0
Social Work and Social Sciences Review,2006,0.104,0,0,27,0,0,0
Social Work and Social Sciences Review,2007,0.538,0.25,0.104,46,23,60.87,4.35
Social Work and Social Sciences Review,2008,0.134,0.2,0.215,41,4,50,0
Social Work and Social Sciences Review,2009,0.183,0.067,0.05,38,0,0,0
Social Work and Social Sciences Review,2010,0.166,0.2,0.238,37,12,25,41.67
Social Work and Social Sciences Review,2011,0.102,0,0,41,28,71.43,60.71
Social Work and Social Sciences Review,2012,0.116,0.061,0.075,34,6,100,33.33
Social Work and Social Sciences Review,2013,0.167,0.282,0.173,51,14,78.57,0
Social Work and Social Sciences Review,2014, , , ,37,13,100,15.38
Social Work and Social Sciences Review,2015, , , ,1,0,0,0
Social Work in Health Care,1996, , , ,267,55,27.27,20
Social Work in Health Care,1997, , , ,253,71,23.94,15.49
Social Work in Health Care,1998, , , ,245,63,36.51,17.46
Social Work in Health Care,1999,0.221,0.237,0.27,266,47,36.17,17.02
Social Work in Health Care,2000,0.272,0.577,0.497,383,73,24.66,28.77
Social Work in Health Care,2001,0.293,0.439,0.652,383,62,22.58,12.9
Social Work in Health Care,2002,0.209,0.313,0.372,338,44,25,34.09
Social Work in Health Care,2003,0.248,0.46,0.423,418,48,14.58,22.92
Social Work in Health Care,2004,0.25,0.328,0.348,458,57,15.79,12.28
Social Work in Health Care,2005,0.215,0.43,0.419,532,46,21.74,45.65
Social Work in Health Care,2006,0.185,0.364,0.329,509,41,14.63,26.83
Social Work in Health Care,2007,0.263,0.464,0.329,547,66,25.76,21.21
Social Work in Health Care,2008,0.298,0.656,0.531,627,46,17.39,0
Social Work in Health Care,2009,0.263,0.461,0.334,564,63,31.75,0
Social Work in Health Care,2010,0.298,0.929,0.74,726,67,23.88,2.99
Social Work in Health Care,2011,0.274,0.792,0.697,695,60,26.67,3.33
Social Work in Health Care,2012,0.412,0.944,0.806,921,59,37.29,3.39
Social Work in Health Care,2013,0.433,0.951,0.602,937,56,58.93,3.57
Social Work in Health Care,2014, , , ,701,63,98.41,4.76
Social Work in Health Care,2015, , , ,48,5,100,20
Social Work in Mental Health,1996, , , ,0,0,0,0
Social Work in Mental Health,1997, , , ,0,0,0,0
Social Work in Mental Health,1998, , , ,0,0,0,0
Social Work in Mental Health,1999, , , ,0,0,0,0
Social Work in Mental Health,2000, , , ,0,0,0,0
Social Work in Mental Health,2001, , , ,0,0,0,0
Social Work in Mental Health,2002, , , ,0,15,26.67,0
Social Work in Mental Health,2003, , , ,1,21,23.81,0
Social Work in Mental Health,2004, , , ,42,28,10.71,0
Social Work in Mental Health,2005,0.191,0,0,59,25,32,52
Social Work in Mental Health,2006,0.101,0,0,17,11,18.18,45.45
Social Work in Mental Health,2007,0.12,0.093,0.06,24,18,5.56,5.56
Social Work in Mental Health,2008,0.134,0.204,0.156,43,31,48.39,6.45
Social Work in Mental Health,2009,0.152,0.25,0.134,47,43,27.91,0
Social Work in Mental Health,2010,0.179,0.265,0.254,75,34,29.41,0
Social Work in Mental Health,2011,0.172,0.346,0.265,97,33,45.45,6.06
Social Work in Mental Health,2012,0.199,0.348,0.492,93,27,48.15,11.11
Social Work in Mental Health,2013,0.17,0.381,0.264,134,31,67.74,6.45
Social Work in Mental Health,2014, , , ,106,32,93.75,6.25
Social Work in Mental Health,2015, , , ,3,9,88.89,0
Social Work in Public Health,1996, , , ,0,0,0,0
Social Work in Public Health,1997, , , ,0,0,0,0
Social Work in Public Health,1998, , , ,0,0,0,0
Social Work in Public Health,1999,0.126, , ,0,0,0,0
Social Work in Public Health,2000,0.111, , ,0,0,0,0
Social Work in Public Health,2001,0.121,0.143,0.13,0,0,0,0
Social Work in Public Health,2002,0.219,0.275,0.144,0,0,0,0
Social Work in Public Health,2003,0.16,0.236,0.156,0,0,0,0
Social Work in Public Health,2004,0.207,0.257,0.221,0,0,0,0
Social Work in Public Health,2005,0.166,0.267,0.171,0,0,0,0
Social Work in Public Health,2006,0.212,0.379,0.295,0,0,0,0
Social Work in Public Health,2007,0.15,0.224,0.208,0,0,0,0
Social Work in Public Health,2008,0.111,0.145,0.134,1,44,43.18,45.45
Social Work in Public Health,2009,0.212,0.26,0.417,9,45,33.33,44.44
Social Work in Public Health,2010,0.207,0.374,0.283,42,38,26.32,10.53
Social Work in Public Health,2011,0.167,0.336,0.187,46,50,44,6
Social Work in Public Health,2012,0.234,0.374,0.363,67,44,56.82,13.64
Social Work in Public Health,2013,0.305,0.62,0.539,123,57,71.93,10.53
Social Work in Public Health,2014, , , ,143,72,91.67,2.78
Social Work in Public Health,2015, , , ,5,0,0,0
Social Work with Groups,1997, , , ,64,38,47.37,0
Social Work with Groups,1998, , , ,86,34,61.76,0
Social Work with Groups,1999, , , ,97,44,54.55,0
Social Work with Groups,2000, , , ,125,43,55.81,0
Social Work with Groups,2001, , , ,70,50,50,0
Social Work with Groups,2002, , , ,94,42,35.71,0
Social Work with Groups,2003, , , ,112,42,50,0
Social Work with Groups,2004, , , ,122,34,44.12,0
Social Work with Groups,2005, , , ,143,15,53.33,0
Social Work with Groups,2006,0.105,0,0,272,66,30.3,6.06
Social Work with Groups,2007,0.19,0.038,0.102,179,41,56.1,0
Social Work with Groups,2008,0.224,0.333,0.332,315,31,51.61,0
Social Work with Groups,2009,0.248,0.4,0.333,187,47,57.45,2.13
Social Work with Groups,2010,0.211,0.333,0.495,191,34,44.12,0
Social Work with Groups,2011,0.344,0.385,0.965,276,47,65.96,2.13
Social Work with Groups,2012,0.371,0.482,0.67,278,27,44.44,3.7
Social Work with Groups,2013,0.265,0.365,0.493,210,29,55.17,0
Social Work with Groups,2014, , , ,311,29,89.66,0
Social Work with Groups,2015, , , ,43,7,100,0
Social Work/Maatskaplike Werk,1996, , , ,58,48,43.75,14.58
Social Work/Maatskaplike Werk,1997, , , ,59,35,54.29,5.71
Social Work/Maatskaplike Werk,1998, , , ,31,38,28.95,0
Social Work/Maatskaplike Werk,1999,0.199,0.163,0.762,50,38,34.21,5.26
Social Work/Maatskaplike Werk,2000,0.222,0.292,0.766,91,32,43.75,3.12
Social Work/Maatskaplike Werk,2001,0.206,0.135,0.682,58,33,51.52,3.03
Social Work/Maatskaplike Werk,2002,0.193,0.11,0.382,79,32,53.13,3.12
Social Work/Maatskaplike Werk,2003,0.196,0.126,0.372,55,34,47.06,0
Social Work/Maatskaplike Werk,2004,0.188,0.122,0.763,61,34,41.18,8.82
Social Work/Maatskaplike Werk,2005,0.193,0.228,0.496,70,33,27.27,6.06
Social Work/Maatskaplike Werk,2006,0.204,0.206,0.574,85,28,39.29,3.57
Social Work/Maatskaplike Werk,2007,0.242,0.407,0.673,99,32,43.75,0
Social Work/Maatskaplike Werk,2008,0.384,0.218,0.611,107,32,50,0
Social Work/Maatskaplike Werk,2009,0.208,0.14,0.533,78,40,52.5,0
